Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
729,Exit short,Close entry(s) order SHORT,2025-05-26 05:30,"108,283.0",4.022636,-3524.63,-0.82%,460.59,0.11%,-4968.76,-1.15%,-571466.06,-0.82%
729,Entry short,SHORT,2025-05-26 05:00,"107,406.8",4.022636,-3524.63,-0.82%,460.59,0.11%,-4968.76,-1.15%,-571466.06,-0.82%
730,Exit long,SHORT,2025-05-27 01:30,"109,252.2",3.927086,508.95,0.12%,5016.46,1.17%,-2448.15,-0.57%,-570957.1,0.12%
730,Entry long,LONG,2025-05-26 06:00,"109,122.6",3.927086,508.95,0.12%,5016.46,1.17%,-2448.15,-0.57%,-570957.1,0.12%
731,Exit short,Close entry(s) order SHORT,2025-05-27 04:00,"109,547.7",3.927086,-1160.45,-0.27%,1748.34,0.41%,-1427.5,-0.33%,-572117.56,-0.27%
731,Entry short,SHORT,2025-05-27 01:30,"109,252.2",3.927086,-1160.45,-0.27%,1748.34,0.41%,-1427.5,-0.33%,-572117.56,-0.27%
732,Exit long,Close entry(s) order LONG,2025-05-29 21:30,"106,999.9",3.972058,-2872.59,-0.67%,4515.83,1.06%,-3359.17,-0.79%,-574990.2,-0.67%
732,Entry long,LONG,2025-05-29 07:00,"107,723.1",3.972058,-2872.59,-0.67%,4515.83,1.06%,-3359.17,-0.79%,-574990.2,-0.67%
733,Exit short,LONG,2025-05-30 11:00,"105,978.8",4.051559,-4368.8,-1.03%,50.64,0.01%,-5015.83,-1.18%,-579358.94,-1.03%
733,Entry short,SHORT,2025-05-30 08:00,"104,900.5",4.051559,-4368.8,-1.03%,50.64,0.01%,-5015.83,-1.18%,-579358.94,-1.03%
734,Exit long,SHORT,2025-05-30 14:00,"105,671.4",3.969105,-1220.1,-0.29%,1139.93,0.27%,-2025.43,-0.48%,-580579.06,-0.29%
734,Entry long,LONG,2025-05-30 11:00,"105,978.8",3.969105,-1220.1,-0.29%,1139.93,0.27%,-2025.43,-0.48%,-580579.06,-0.29%
735,Exit short,LONG,2025-05-30 18:00,"105,863.4",3.969105,-762.07,-0.18%,4379.51,1.04%,-827.96,-0.20%,-581341.1,-0.18%
735,Entry short,SHORT,2025-05-30 14:00,"105,671.4",3.969105,-762.07,-0.18%,4379.51,1.04%,-827.96,-0.20%,-581341.1,-0.18%
736,Exit long,SHORT,2025-05-30 21:30,"105,174.1",3.954708,-2725.98,-0.65%,338.92,0.08%,-3414.1,-0.82%,-584067.1,-0.65%
736,Entry long,LONG,2025-05-30 18:00,"105,863.4",3.954708,-2725.98,-0.65%,338.92,0.08%,-3414.1,-0.82%,-584067.1,-0.65%
737,Exit short,LONG,2025-05-31 20:00,"103,984.1",3.954708,4706.1,1.13%,8470.98,2.04%,-2457.06,-0.59%,-579361,1.13%
737,Entry short,SHORT,2025-05-30 21:30,"105,174.1",3.954708,4706.1,1.13%,8470.98,2.04%,-2457.06,-0.59%,-579361,1.13%
738,Exit long,SHORT,2025-06-01 08:00,"104,408.7",4.045216,1717.6,0.41%,3540.37,0.84%,-256.47,-0.06%,-577643.44,0.41%
738,Entry long,LONG,2025-05-31 20:00,"103,984.1",4.045216,1717.6,0.41%,3540.37,0.84%,-256.47,-0.06%,-577643.44,0.41%
